Age,Purchased
19,0
35,0
26,0
27,0
19,0
27,0
27,0
32,0
25,0
35,0
26,0
26,0
20,0
32,0
18,0
29,0
47,0
45,0
46,0
48,0
45,0
47,0
48,0
45,0
46,0
47,0
49,0
47,0
29,0
31,0
31,0
27,0
21,0
28,0
27,0
35,0
33,0
30,0
26,0
27,0
27,0
33,0
35,0
30,0
28,0
23,0
25,0
27,0
30,1
31,0
24,0
18,0
29,0
35,0
27,0
24,0
23,0
28,0
22,0
32,0
27,0
25,0
23,0
32,1
59,0
24,0
24,0
23,0
22,0
31,0
25,0
24,0
20,0
33,0
32,0
34,0
18,0
22,0
28,0
26,0
30,0
39,0
20,0
35,0
30,0
31,0
24,0
28,0
26,0
35,0
22,0
30,0
26,0
29,0
29,0
35,0
35,0
28,0
35,0
28,0
27,0
28,0
32,0
33,0
19,0
21,0
26,0
27,0
26,0
38,0
39,0
37,0
38,0
37,0
42,0
40,0
35,0
36,0
40,0
41,0
36,0
37,0
40,0
35,0
41,0
39,0
42,0
26,0
30,0
26,0
31,0
33,0
30,0
21,0
28,0
23,0
20,0
30,0
28,0
19,0
19,0
18,0
35,0
30,0
34,0
24,0
27,1
41,0
29,0
20,0
26,0
41,0
31,0
36,0
40,0
31,0
46,0
29,0
26,0
32,1
32,1
25,0
37,0
35,0
33,0
18,0
22,0
35,0
29,0
29,0
21,0
34,0
26,0
34,0
34,0
23,0
35,0
25,0
24,0
31,0
26,0
31,0
32,0
33,0
33,0
31,0
20,0
33,0
35,0
28,0
24,0
19,0
29,0
19,0
28,0
34,0
30,0
20,0
26,0
35,0
35,0
49,0
39,0
41,0
58,0
47,0
55,0
52,0
40,1
46,0
48,1
52,1
59,0
35,0
47,0
60,1
49,0
40,0
46,0
59,1
41,0
35,1
37,1
60,1
35,0
37,0
36,1
56,1
40,0
42,1
35,1
39,0
40,1
49,1
38,0
46,1
40,0
37,0
46,0
53,1
42,1
38,0
50,0
56,0
41,0
51,0
35,0
57,0
41,0
35,0
44,0
37,0
48,0
37,0
50,0
52,0
41,0
40,0
58,0
45,0
35,0
36,0
55,0
35,0
48,0
42,0
40,0
37,0
47,0
40,0
43,0
59,0
60,0
39,0
57,0
57,0
38,0
49,0
52,0
50,0
59,0
35,0
37,0
52,0
48,0
37,0
37,0
48,0
41,0
37,0
39,0
49,0
55,0
37,0
35,0
36,0
42,0
43,0
45,0
46,0
58,0
48,0
37,0
37,0
40,0
42,0
51,0
47,0
36,0
38,0
42,0
39,0
38,0
49,0
39,0
39,0
54,0
35,0
45,0
36,0
52,0
53,0
41,0
48,0
48,0
41,0
41,0
42,0
36,0
47,0
38,0
48,0
42,0
40,0
57,0
36,0
58,0
35,0
38,0
39,0
53,0
35,0
38,0
47,0
47,0
41,0
53,0
54,0
39,0
38,0
38,0
37,0
42,0
37,0
36,0
60,0
54,0
41,0
40,0
42,0
43,0
53,0
47,0
42,0
42,0
59,0
58,0
46,0
38,0
54,0
60,0
60,0
39,0
59,0
37,0
46,0
46,0
42,0
41,0
58,0
42,0
48,0
44,0
49,0
57,1
56,1
49,1
39,0
47,0
48,0
48,0
47,0
45,0
60,0
39,0
46,0
51,0
50,0
36,0
49,0
